MATERIAL_NUMBER_1,MATERIAL_NUMBER_TEXT,UPPER_DESC
243781,"VALVE,BALL,4,600A,FE RF,FP,4F-F63-RF,BAL","VALVE,BALL,4,600A,FE RF,FP,4F-F63-RF,BAL"
243953,"VALVE,PLUG,8,500#CWP,CI,STL,ROCKWELL","VALVE,PLUG,8,500#CWP,CI,STL,ROCKWELL"
246784,"VALVE,SUCTION,ARIEL,A-9239","VALVE,SUCTION,ARIEL,A-9239"
248663,"ELL,90,WELD,8,STD,LR,Y-52","ELL,90,WELD,8,STD,LR,Y-52"
249697,"PIPE,20"" OD .500"" WT API5LX52/60,ERW,PEB","PIPE,20"" OD .500"" WT API5LX52/60,ERW,PEB"
252579,"VALVE,BALL,2"",2 F-F93-SE, 2500#","VALVE,BALL,2"",2 F-F93-SE, 2500#"
256264,"VALVE,CHECK,12"",600#,RFFE,WHEATLEY,SWING","VALVE,CHECK,12"",600#,RFFE,WHEATLEY,SWING"
258264,"PIPE,20"" OD .375"" WT API5LX65,FBE,ARO","PIPE,20"" OD .375"" WT API5LX65,FBE,ARO"
258385,"VALVE,BALL,4,600A,FE RF,FP,4F-F63-RF,BAL","VALVE,BALL,4,600A,FE RF,FP,4F-F63-RF,BAL"
259530,"VALVE,BALL,1"",1 F-F93-SE, 2500#","VALVE,BALL,1"",1 F-F93-SE, 2500#"
260823,"ELL,WLD,24"",90DEG,3R,.500WT,Y60","ELL,WLD,24"",90DEG,3R,.500WT,Y60"
260831,"FLANGE,RFWN, 4"",ANSI 600,STD BORE","FLANGE,RFWN, 4"",ANSI 600,STD BORE"
281319,"PIPE,STL,X52M,12,0.250WT,FBE-PC","PIPE,STL,X52M,12,0.250WT,FBE-PC"
281323,"PIPE,STL,X52M,12,0.330WT,FBE-PC,TRL","PIPE,STL,X52M,12,0.330WT,FBE-PC,TRL"
281410,"PIPE,STL,X42,18","PIPE,STL,X42,18"
282219,"VALVE,BALL,6,RP,ANSI300,BW X FL","VALVE,BALL,6,RP,ANSI300,BW X FL"
282302,"VALVE,CHECK,8,WAFER","VALVE,CHECK,8,WAFER"
282525,"PIPE,NIPPLE,1/4X8,XH,THD","PIPE,NIPPLE,1/4X8,XH,THD"
282552,"PIPE,NIPPLE,1/2X9,THD","PIPE,NIPPLE,1/2X9,THD"
282625,"NIPPLE,1 X 13,SC,BLK,STD","NIPPLE,1 X 13,SC,BLK,STD"
282659,"PIPE,NIPPLE,1-1/4X18,THD","PIPE,NIPPLE,1-1/4X18,THD"
3403594,"PIPE,PLA,1,IPS,ORANGE,PE2406CEC,SDR11,","PIPE,PLA,1,IPS,ORANGE,PE2406CEC,SDR11,"
3403708,"PIPE,PLA,1,CTS,ORANGE,PE2306CEC,SDR11.5,","PIPE,PLA,1,CTS,ORANGE,PE2306CEC,SDR11.5,"
165102,"PIPE,22"" OD .250"" WT API5LX60,ERW,PE","PIPE,22"" OD .250"" WT API5LX60,ERW,PE"
165136,"PIPE,CT,4 1/2"" OD .237"" WT API5LB,SMLS,","PIPE,CT,4 1/2"" OD .237"" WT API5LB,SMLS,"
165383,"ELL,WLD,8"",90DEG,LR,.500WT,GR B","ELL,WLD,8"",90DEG,LR,.500WT,GR B"
165404,"ELL,WLD,26"",90DEG,LR,.344WT,Y60","ELL,WLD,26"",90DEG,LR,.344WT,Y60"
168202,"PIPE,12 3/4"" OD .312"" WT API5LX42,ERW,PE","PIPE,12 3/4"" OD .312"" WT API5LX42,ERW,PE"
168750,"BOLT,STUD,1 1/8"" X 7"",W/2-2H HEX NUTS","BOLT,STUD,1 1/8"" X 7"",W/2-2H HEX NUTS"
170032,"PIPE,STL,CASING,16,BARE","PIPE,STL,CASING,16,BARE"
171682,"VALVE,PLUG,6,200#WP,FE,143,ROCKWELL,MI","VALVE,PLUG,6,200#WP,FE,143,ROCKWELL,MI"
177946,"PIPE,22"" OD .500"" WT API5LB,SMLS,PE","PIPE,22"" OD .500"" WT API5LB,SMLS,PE"
178286,"VALVE,BALL 4"" ANSI 600# RFFE GROVE B4C","VALVE,BALL 4"" ANSI 600# RFFE GROVE B4C"
178674,"VALVE,INLET 45DEG,I-R 1W29960","VALVE,INLET 45DEG,I-R 1W29960"
179723,"ELL,90,4,BLK,STD,MI,THRD","ELL,90,4,BLK,STD,MI,THRD"
179858,"NIPPLE,2 X 12,BLK,STD,BW,TBE,SCH-40","NIPPLE,2 X 12,BLK,STD,BW,TBE,SCH-40"
179893,"NIPPLE,1 X 4,BLK,XH,SMLS,TBE,SCH-80","NIPPLE,1 X 4,BLK,XH,SMLS,TBE,SCH-80"
179903,"NIPPLE,2 X 6,BLK,XH,SMLS,TBE,SCH-80","NIPPLE,2 X 6,BLK,XH,SMLS,TBE,SCH-80"
179911,"NIPPLE,1 X 4,BLK,XH,SMLS,TOE","NIPPLE,1 X 4,BLK,XH,SMLS,TOE"
179933,"NIPPLE,1/4 X 2,GALV,STD,BW,TBE,SCH-40","NIPPLE,1/4 X 2,GALV,STD,BW,TBE,SCH-40"
180481,"FLANGE,THRD,1,RF,300A,CS,STD BORE","FLANGE,THRD,1,RF,300A,CS,STD BORE"
180517,"FLANGE,WN,8,RF,300A,CS,STD BORE","FLANGE,WN,8,RF,300A,CS,STD BORE"
180525,"FLANGE,WN,4,RF,600A,CS,Y-52","FLANGE,WN,4,RF,600A,CS,Y-52"
181588,"VALVE,GATE,6,150A,FE,FP,1F2,KEROTEST","VALVE,GATE,6,150A,FE,FP,1F2,KEROTEST"
181644,"VALVE,RLF,1-1/2X1-1/2,  SE,LONERGAN-11-W","VALVE,RLF,1-1/2X1-1/2,  SE,LONERGAN-11-W"
181671,"VALVE,FLOWGRID,2,DUAL-PORT,600#,MOONEY,F","VALVE,FLOWGRID,2,DUAL-PORT,600#,MOONEY,F"
181775,"BOLT,MACH,3/4 X 3,BLK,HHHD,W/HHN","BOLT,MACH,3/4 X 3,BLK,HHHD,W/HHN"
181779,"BOLT,MACH,3/4 X 4,BLK,HHHD,W/HHN","BOLT,MACH,3/4 X 4,BLK,HHHD,W/HHN"
181804,"BOLT,MACH,3/4X4-1/4,ZNC,HHHD,W/HHN,B307","BOLT,MACH,3/4X4-1/4,ZNC,HHHD,W/HHN,B307"
182444,"VALVE,GATE,1-1/2,125#WP,-DO NOT STOCK","VALVE,GATE,1-1/2,125#WP,-DO NOT STOCK"
201972,"VALVE,RELIEF,2,FISHER,#1808-43,W/6358 PI","VALVE,RELIEF,2,FISHER,#1808-43,W/6358 PI"
229236,"BOLT,STUD,1-1/8 X 7-1/4,BLK,ALLOY,W/2 HH","BOLT,STUD,1-1/8 X 7-1/4,BLK,ALLOY,W/2 HH"
231166,"PIPE,PLA,6,IPS,83P,SDR 11,YELLOW STRIPE","PIPE,PLA,6,IPS,83P,SDR 11,YELLOW STRIPE"
240186,"NIPPLE,TEST WELD,12,.375 WALL,X65","NIPPLE,TEST WELD,12,.375 WALL,X65"
241523,"VALVE,BALL,6,150A,WE,FP,DELTA","VALVE,BALL,6,150A,WE,FP,DELTA"
244153,"PIPE,STL,POWERCRETE,10,.365W,ERW,40.52#","PIPE,STL,POWERCRETE,10,.365W,ERW,40.52#"
246254,"VALVE,BALL,1"",1 F-F93-SE, 2500#","VALVE,BALL,1"",1 F-F93-SE, 2500#"
251203,"VALVE,BALL,2,150A,FE RF,FP, 2F-F12-RF","VALVE,BALL,2,150A,FE RF,FP, 2F-F12-RF"
256308,"VALVE, ePCC VALVE,","VALVE, EPCC VALVE,"
257714,"ELL,WLD, 6"",45DEG,LR,STD,GR.B","ELL,WLD, 6"",45DEG,LR,STD,GR.B"
258805,"VALVE, CONTROLLER  P/N DVC6200","VALVE, CONTROLLER  P/N DVC6200"
259822,"PIPE,CT,24"" OD .375"" WT API5LX65,ERW,PEB","PIPE,CT,24"" OD .375"" WT API5LX65,ERW,PEB"
267603,"PIPE,STL,BARE,6,.432 WALL,SMLS,X52","PIPE,STL,BARE,6,.432 WALL,SMLS,X52"
281276,"PIPE,STL,1-1/4,.140WT,SMLS,GRD B,FBE2","PIPE,STL,1-1/4,.140WT,SMLS,GRD B,FBE2"
281333,"PIPE,STL,X65M,12,0.406WT,FBE-PC","PIPE,STL,X65M,12,0.406WT,FBE-PC"
282227,"VALVE,EXCESS FLOW,0.75,SERIES 1800,BF","VALVE,EXCESS FLOW,0.75,SERIES 1800,BF"
282553,"PIPE,NIPPLE,1/2X10,THD","PIPE,NIPPLE,1/2X10,THD"
282587,"PIPE,NIPPLE,3/4X18,THD","PIPE,NIPPLE,3/4X18,THD"
283287,"PIPE,NIPPLE,2X4,XH,THD","PIPE,NIPPLE,2X4,XH,THD"
283294,"NIPPLE,2 X 6,BLK,XH,SMLS,TBE,SCH-80","NIPPLE,2 X 6,BLK,XH,SMLS,TBE,SCH-80"
283918,"VALVE,TEE,1-1/4X3/4","VALVE,TEE,1-1/4X3/4"
3400561,"VALVE,BODY,5    ,ALUM,QUALI-TECH,#471010","VALVE,BODY,5    ,ALUM,QUALI-TECH,#471010"
3403580,"PIPE,PLA,1/2,IPS,YELLOW,PE2406CEC,SDR9.3","PIPE,PLA,1/2,IPS,YELLOW,PE2406CEC,SDR9.3"
3403673,"PIPE,PLA,1,CTS,YELLOW,PE2406CEC,SDR11.5,","PIPE,PLA,1,CTS,YELLOW,PE2406CEC,SDR11.5,"
3403769,"PIPE,PLA,1-1/4,IPS,YELLOW,PE2406CEC,SDR","PIPE,PLA,1-1/4,IPS,YELLOW,PE2406CEC,SDR"
3403773,"PIPE,PLA,6,IPS,YELLOW,PE-406CEC,SDR11.5,","PIPE,PLA,6,IPS,YELLOW,PE-406CEC,SDR11.5,"
3403776,"PIPE,PLA,3/4,IPS,PINK,PE2406CDA,SDR11,AL","PIPE,PLA,3/4,IPS,PINK,PE2406CDA,SDR11,AL"
165055,"PIPE,4 1/2"" OD .188"" WT API5LX42,ERW,PE","PIPE,4 1/2"" OD .188"" WT API5LX42,ERW,PE"
165132,"PIPE,CT,4 1/2"" OD .188"" WT API5LB,ERW,PE","PIPE,CT,4 1/2"" OD .188"" WT API5LB,ERW,PE"
165174,"PIPE,CT,12 3/4"" OD .375"" WT API5LX42,ERW","PIPE,CT,12 3/4"" OD .375"" WT API5LX42,ERW"
165387,"ELL,WLD,10"",90DEG,LR,.625WT,Y60","ELL,WLD,10"",90DEG,LR,.625WT,Y60"
165394,"ELL,WLD,18"",90DEG,LR,.375WT,GR.B","ELL,WLD,18"",90DEG,LR,.375WT,GR.B"
165805,"FLANGE,RF THREADED, 3"",ANSI 150","FLANGE,RF THREADED, 3"",ANSI 150"
165845,"FLANGE,RFWN,18"",ANSI 600,16.972 BORE","FLANGE,RFWN,18"",ANSI 600,16.972 BORE"
165934,"VALVE,BALL,2"",RFFE,FULL PORT,ANSI 600","VALVE,BALL,2"",RFFE,FULL PORT,ANSI 600"
165978,"VALVE,PLUG 2"",ROCKWELL FIG 824,800 CWP","VALVE,PLUG 2"",ROCKWELL FIG 824,800 CWP"
166286,"STUD,H E,2 1/2-12 X 17 1/8,CECO","STUD,H E,2 1/2-12 X 17 1/8,CECO"
168585,"VALVE,BALL,4"",RFFE,ORBIT FIG.1623,ANSI","VALVE,BALL,4"",RFFE,ORBIT FIG.1623,ANSI"
168601,"VALVE,BALL,8"",RFFE,ORBIT FIG.1123BB,FULL","VALVE,BALL,8"",RFFE,ORBIT FIG.1123BB,FULL"
168618,"VALVE,CHECK,1"",300#,SCW TOP","VALVE,CHECK,1"",300#,SCW TOP"
168736,"BOLT,STUD,3/4"" X 5"",B-7,W/2-2H HEX NUTS","BOLT,STUD,3/4"" X 5"",B-7,W/2-2H HEX NUTS"
169354,"NIPPLE,CONDUIT,GALV, 3/4 X CLOSE","NIPPLE,CONDUIT,GALV, 3/4 X CLOSE"
170472,"NIPPLE,WELD,4 X 10-3/4","NIPPLE,WELD,4 X 10-3/4"
177843,"PIPE,16"" OD .500"" WT API5LX42,DSAW,PE","PIPE,16"" OD .500"" WT API5LX42,DSAW,PE"
177931,"PIPE,20"" OD .324"" WT API5LX60,ERW,PEB","PIPE,20"" OD .324"" WT API5LX60,ERW,PEB"
178025,"PIPE,CT,20"" OD .375"" WT API5LX60,ERW,PE","PIPE,CT,20"" OD .375"" WT API5LX60,ERW,PE"
