MATERIAL_NUMBER_1,MATERIAL_NUMBER_TEXT,UPPER_DESC
165043,"PIPE,3 1/2"" OD .188"" WT API5LX42,ERW","PIPE,3 1/2"" OD .188"" WT API5LX42,ERW"
165056,"PIPE,4 1/2"" OD .237"" WT API5LB,ERW,PEB,","PIPE,4 1/2"" OD .237"" WT API5LB,ERW,PEB,"
165103,"PIPE,22"" OD .281"" WT API5LX60,ERW,PEB","PIPE,22"" OD .281"" WT API5LX60,ERW,PEB"
165214,"PIPE,CT,30"" OD .375"" WT API5LX60,DSAW,PE","PIPE,CT,30"" OD .375"" WT API5LX60,DSAW,PE"
165800,"FLANGE,RF SLIP-ON, 3"",ANSI 600","FLANGE,RF SLIP-ON, 3"",ANSI 600"
165949,"VALVE,BALL,GROVE B-5 6"" ANSI 300# W.E.","VALVE,BALL,GROVE B-5 6"" ANSI 300# W.E."
167126,"VALVE,GAS,HONEYWELL #V48R2243","VALVE,GAS,HONEYWELL #V48R2243"
168179,"PIPE,18"" OD .312"" WT API5LB,SMLS,PE","PIPE,18"" OD .312"" WT API5LB,SMLS,PE"
168256,"NIPPLE,1"" X 4"",STD,SCW,BLK,","NIPPLE,1"" X 4"",STD,SCW,BLK,"
168603,"VALVE,BALL,8""X6""X8"",WKM FIG.370-21AH21,","VALVE,BALL,8""X6""X8"",WKM FIG.370-21AH21,"
168613,"VALVE,BALL,12"",ANSI 600,FExFE,FP,CAMERON","VALVE,BALL,12"",ANSI 600,FEXFE,FP,CAMERON"
169997,"PIPE,STL,FBC,6,.250W,ERW,17.02#/FT,X42","PIPE,STL,FBC,6,.250W,ERW,17.02#/FT,X42"
170033,"PIPE,STL,BLK,18,.250W,47.39#/FT,SRL","PIPE,STL,BLK,18,.250W,47.39#/FT,SRL"
170198,"NIPPLE,1-1/2 X 2-1/2,BLK,STD,BW,TBE","NIPPLE,1-1/2 X 2-1/2,BLK,STD,BW,TBE"
171684,"VALVE,PLUG,6,500#WP,FE,FP,D-501,RESUN","VALVE,PLUG,6,500#WP,FE,FP,D-501,RESUN"
177854,"PIPE,20"" OD .500"" WT API5LX56,ERW,PEB","PIPE,20"" OD .500"" WT API5LX56,ERW,PEB"
177948,"PIPE,24"" OD .250"" API5LX42,ERW,PEB","PIPE,24"" OD .250"" API5LX42,ERW,PEB"
178193,"FLANGE,RFWN,2"",ANSI 300,XH BORE","FLANGE,RFWN,2"",ANSI 300,XH BORE"
178266,"VALVE,BALL,1/2"",KF/HALE ,#5002-P12,2000#","VALVE,BALL,1/2"",KF/HALE ,#5002-P12,2000#"
179538,"PIPE,STL,GALV,2,.154W,SMLS,3.65#/FT,A106","PIPE,STL,GALV,2,.154W,SMLS,3.65#/FT,A106"
179595,"PIPE,STL,FBC,2,.218 WALL,5.02#/FT ,X42","PIPE,STL,FBC,2,.218 WALL,5.02#/FT ,X42"
179884,"NIPPLE,1/2 X 3,BLK,XH,SMLS,TBE,SCH-80","NIPPLE,1/2 X 3,BLK,XH,SMLS,TBE,SCH-80"
180305,"ELL,90,WELD,8,LR,.250W (NOT STD),S20","ELL,90,WELD,8,LR,.250W (NOT STD),S20"
180321,"ELL,90,WELD,RED,10 X 8,STD,LR","ELL,90,WELD,RED,10 X 8,STD,LR"
181465,"VALVE,PLUG,3,200#WP,FE,143,ROCKWELL,MI","VALVE,PLUG,3,200#WP,FE,143,ROCKWELL,MI"
181531,"VALVE,BALL,4,500#WP,WE,RP,4BMW500RP,BALL","VALVE,BALL,4,500#WP,WE,RP,4BMW500RP,BALL"
181606,"VALVE,GATE,2,300A,W X F,FP,1F7WL,KEROTES","VALVE,GATE,2,300A,W X F,FP,1F7WL,KEROTES"
181663,"VALVE,FLOWGRID,2X1,DUAL-PORT,150#,MOONEY","VALVE,FLOWGRID,2X1,DUAL-PORT,150#,MOONEY"
181680,"VALVE,RELIEF,2,MOONEY,#FG-5,ANSI 150,100","VALVE,RELIEF,2,MOONEY,#FG-5,ANSI 150,100"
181728,"VALVE,LOCKING DEVICE,KEROTEST,1""-4""","VALVE,LOCKING DEVICE,KEROTEST,1""-4"""
183757,"VALVE,BALL,6,300A,WE,FP,DELTA TYPE 55","VALVE,BALL,6,300A,WE,FP,DELTA TYPE 55"
228651,"VALVE,CONTROL,2,300#,RF,FISHER,#657-EZ","VALVE,CONTROL,2,300#,RF,FISHER,#657-EZ"
229043,"PIPE,BR,13"" OD .500"" WT API5L GR C","PIPE,BR,13"" OD .500"" WT API5L GR C"
240484,"ELL,45,WELD,20,Y52,LR","ELL,45,WELD,20,Y52,LR"
242827,"VALVE,BALL,2,750# WP,FP,BALLOMAX","VALVE,BALL,2,750# WP,FP,BALLOMAX"
253018,"PIPE,10 3/4"" OD .365"" WT API5LX52,ERW,","PIPE,10 3/4"" OD .365"" WT API5LX52,ERW,"
257948,"BOLT,MACH,5/8 X 4-1/4,BLK,HHHD,W/HHN","BOLT,MACH,5/8 X 4-1/4,BLK,HHHD,W/HHN"
258416,"PIPE,3 1/2""OD.300""WT API5LB,X52 ERW,ARO","PIPE,3 1/2""OD.300""WT API5LB,X52 ERW,ARO"
259111,"PIPE,PE,HIGH DEN,EMERG,12"",82PSIG MAOP","PIPE,PE,HIGH DEN,EMERG,12"",82PSIG MAOP"
259983,"FLANGE,RFWN, 8"",ANSI 600,STD BORE","FLANGE,RFWN, 8"",ANSI 600,STD BORE"
260846,"PIPE,8 5/8""OD .322 WT API5L GR. B,","PIPE,8 5/8""OD .322 WT API5L GR. B,"
262756,"VALVE,BALL,2,2000CWP,FP,THD,2F-F93,BALON","VALVE,BALL,2,2000CWP,FP,THD,2F-F93,BALON"
264678,"ELL,45,WELD,4,LR, STD,Y-42","ELL,45,WELD,4,LR, STD,Y-42"
265205,"VALVE,BALL,10,600A,WE,FP,DELTA FIG 55","VALVE,BALL,10,600A,WE,FP,DELTA FIG 55"
267792,"VALVE,CONTROL,2,FISHER,#657 GLOBAL","VALVE,CONTROL,2,FISHER,#657 GLOBAL"
268357,"PIPE,STL,CASING,8,.280W,22.36#/FT","PIPE,STL,CASING,8,.280W,22.36#/FT"
281359,"PIPE,STL,X52,12,0.406WT,FBE,TRL","PIPE,STL,X52,12,0.406WT,FBE,TRL"
281368,"PIPE,STL,X52,16,0.250WT,FBE","PIPE,STL,X52,16,0.250WT,FBE"
281370,"PIPE,STL,4,.237WT,HFW,X52M,FBE,SRL","PIPE,STL,4,.237WT,HFW,X52M,FBE,SRL"
282205,"VALVE,BALL,PLA,3,BF","VALVE,BALL,PLA,3,BF"
282519,"PIPE,NIPPLE,1/4X5,XH,THD","PIPE,NIPPLE,1/4X5,XH,THD"
282677,"PIPE,NIPPLE,1-1/2X18,THD","PIPE,NIPPLE,1-1/2X18,THD"
283295,"PIPE,NIPPLE,2X7,THD","PIPE,NIPPLE,2X7,THD"
284031,"PIPE,STOPPER,18,CL600,FLG","PIPE,STOPPER,18,CL600,FLG"
3402881,"BOLT,STUD,3/8X2,DITCH WITCH,#105-075","BOLT,STUD,3/8X2,DITCH WITCH,#105-075"
3403576,"PIPE,PLA,6,IPS,YELLOWPE2406CEC,SDR11.5,","PIPE,PLA,6,IPS,YELLOWPE2406CEC,SDR11.5,"
3403599,"PIPE,PLA,6,IPS,ORANGE,PE2406CEC,SDR11.5,","PIPE,PLA,6,IPS,ORANGE,PE2406CEC,SDR11.5,"
3403731,"PIPE,PLA,1,CTS,ORANGE,PE2406CEC,SDR11.5,","PIPE,PLA,1,CTS,ORANGE,PE2406CEC,SDR11.5,"
9004198,"VALVE,PCV,2-9229,FV191,","VALVE,PCV,2-9229,FV191,"
165006,"PIPE,3 1/2"" OD .216"" WT A53B,SMLS,","PIPE,3 1/2"" OD .216"" WT A53B,SMLS,"
165016,"PIPE,8 5/8"" OD .322"" WT API5LX42,ERW,PEB","PIPE,8 5/8"" OD .322"" WT API5LX42,ERW,PEB"
165920,"ELBOW,MALE,3/8""X1/4"",PARKER 6-4 VBZ-SS","ELBOW,MALE,3/8""X1/4"",PARKER 6-4 VBZ-SS"
168270,"NIPPLE,1"" X 3"",XH,SMLS,SCW(MXM)","NIPPLE,1"" X 3"",XH,SMLS,SCW(MXM)"
168611,"VALVE,BALL,10"",RFFE,ANSI CLASS 600,","VALVE,BALL,10"",RFFE,ANSI CLASS 600,"
168734,"BOLT,STUD,3/4"" X 4 1/2"",B7 ALLOY,W/2-2H","BOLT,STUD,3/4"" X 4 1/2"",B7 ALLOY,W/2-2H"
170199,"NIPPLE,1-1/2 X 3,BLK,STD.BW,TBE","NIPPLE,1-1/2 X 3,BLK,STD.BW,TBE"
177863,"PIPE,30"" OD .500"" WT API5LX60,DSAW,PEB","PIPE,30"" OD .500"" WT API5LX60,DSAW,PEB"
177866,"PIPE,48"" OD .625"" WT A252 2,DSAW,PE","PIPE,48"" OD .625"" WT A252 2,DSAW,PE"
177913,"PIPE,16"" OD .375"" WT API5L42- 52,ERW,PEB","PIPE,16"" OD .375"" WT API5L42- 52,ERW,PEB"
177970,"PIPE,30"" OD .500"" WT API5LX65,DSAW,PEB","PIPE,30"" OD .500"" WT API5LX65,DSAW,PEB"
178887,"VALVE,O'RING KIT VERSA,SOLAR #8007874R94","VALVE,O'RING KIT VERSA,SOLAR #8007874R94"
179877,"NIPPLE,1/4 X 12,BLK,XH,SMLS,TBE","NIPPLE,1/4 X 12,BLK,XH,SMLS,TBE"
179934,"NIPPLE,1/4 X 3,GALV,STD,BW,TBE,SCH-40","NIPPLE,1/4 X 3,GALV,STD,BW,TBE,SCH-40"
180011,"NIPPLE,2 X 12,GALV,STD,BW,TBE,SCH-40","NIPPLE,2 X 12,GALV,STD,BW,TBE,SCH-40"
180452,"FLANGE,BLIND,4,RF,600A,CS","FLANGE,BLIND,4,RF,600A,CS"
180476,"FLANGE,THRD,1-1/4,RF,150A,CS,STD BORE","FLANGE,THRD,1-1/4,RF,150A,CS,STD BORE"
181524,"VALVE,BALL,3,1500#WP,SE,FP,B138-CS-43-CS","VALVE,BALL,3,1500#WP,SE,FP,B138-CS-43-CS"
181532,"VALVE,BALL,4,500#WP,W X F,RP,4BMWF500RP,","VALVE,BALL,4,500#WP,W X F,RP,4BMWF500RP,"
181833,"BOLT,STUD,3/4X4-3/4,BLK,ALY,W/2HHN,A193","BOLT,STUD,3/4X4-3/4,BLK,ALY,W/2HHN,A193"
181843,"BOLT,STUD,7/8 X 4-1/2,CAD,ALLOY,W/2 HHN","BOLT,STUD,7/8 X 4-1/2,CAD,ALLOY,W/2 HHN"
242112,"VALVE,NEEDLE,1/2M X 1/2F,6,000#WP,CS,N-4","VALVE,NEEDLE,1/2M X 1/2F,6,000#WP,CS,N-4"
247142,"VALVE,PLUG,6,300#WP,ROCKWELL(USED)","VALVE,PLUG,6,300#WP,ROCKWELL(USED)"
248225,"VALVE,CNTL,IND,P/N 1024780-18","VALVE,CNTL,IND,P/N 1024780-18"
249465,"PIPE,16"" OD .375"" WT API5LX60/65,ERW,PEB","PIPE,16"" OD .375"" WT API5LX60/65,ERW,PEB"
251178,"NIPPLE,1-1/4 X 2-1/2,BLK,STD,BW,TBE,","NIPPLE,1-1/4 X 2-1/2,BLK,STD,BW,TBE,"
252388,"VALVE,G/F,ASSY,P/N 1042017-1800","VALVE,G/F,ASSY,P/N 1042017-1800"
252676,"VALVE,BALL,4,600A,FE RF,FP,KF","VALVE,BALL,4,600A,FE RF,FP,KF"
253943,"NIPPLE,TOE,1-1/2 X 3, SMLS,TOE X POE,XH","NIPPLE,TOE,1-1/2 X 3, SMLS,TOE X POE,XH"
254914,"VALVE,CONTROL,FISHER ET,8"" 657 SIZE 70","VALVE,CONTROL,FISHER ET,8"" 657 SIZE 70"
255480,"PIPE,36"".450 WT API5L X70,ERW,  FBE","PIPE,36"".450 WT API5L X70,ERW,  FBE"
256603,"PIPE,STL,DUALCOAT,12,.375W,ERW,X65","PIPE,STL,DUALCOAT,12,.375W,ERW,X65"
256766,"ELL,90,1-1/4, BLK,3000#,MI,THRD","ELL,90,1-1/4, BLK,3000#,MI,THRD"
258371,"PIPE,CT,6 5/8""OD.280""WT,X42,SMLS,BARE","PIPE,CT,6 5/8""OD.280""WT,X42,SMLS,BARE"
258415,"PIPE,4 1/2""OD.337WT API5LX52,ERW,ARO","PIPE,4 1/2""OD.337WT API5LX52,ERW,ARO"
259227,"PIPE,STPIPE,STL,POWERCRETE,16"",.500 WALL","PIPE,STPIPE,STL,POWERCRETE,16"",.500 WALL"
259590,"VALVE,BALL,4"",TRUN,ANSI,150,RF,CS,FP","VALVE,BALL,4"",TRUN,ANSI,150,RF,CS,FP"
260314,"ELL,WLD, 4"",90DEG,LR,STD,GR.B WT-.237","ELL,WLD, 4"",90DEG,LR,STD,GR.B WT-.237"
262743,"VALVE,RELIEF,3IN,ANSI150,100,60-200PSIG","VALVE,RELIEF,3IN,ANSI150,100,60-200PSIG"
281402,"PIPE,STL,X42,16,0.250WT","PIPE,STL,X42,16,0.250WT"
282240,"VALVE,NEEDLE,1/2F X 1/2F,6000#WP,SE,N-46","VALVE,NEEDLE,1/2F X 1/2F,6000#WP,SE,N-46"
282628,"NIPPLE,1 X 16,SC,BLK,STD","NIPPLE,1 X 16,SC,BLK,STD"
283833,"PIPE,NIPPLE,4X6,WELD","PIPE,NIPPLE,4X6,WELD"
3403611,"PIPE,PLA,6,IPS,YELLOW,PE2306CEC,SDR11.5,","PIPE,PLA,6,IPS,YELLOW,PE2306CEC,SDR11.5,"
165240,"NIPPLE,1/4"" X 10"",XH,SMLS,SCW(MXM)","NIPPLE,1/4"" X 10"",XH,SMLS,SCW(MXM)"
165395,"ELL,WLD,18"",90DEG,LR,.375WT,Y52","ELL,WLD,18"",90DEG,LR,.375WT,Y52"
168160,"PIPE,1"" NOM. .133"" WT A106B,SMLS,PE","PIPE,1"" NOM. .133"" WT A106B,SMLS,PE"
168161,"PIPE,1"" NOM .133"" WT API5LB,SMLS,SE","PIPE,1"" NOM .133"" WT API5LB,SMLS,SE"
168166,"PIPE,2 3/8"" OD .154"" WT A106B,SMLS,PEB","PIPE,2 3/8"" OD .154"" WT A106B,SMLS,PEB"
168607,"VALVE,BALL,8"",RFFE,GROVE FIG B5,FULL","VALVE,BALL,8"",RFFE,GROVE FIG B5,FULL"
168741,"BOLT,STUD,7/8"" X 5 3/4"",B-7,W/2-2H HEX","BOLT,STUD,7/8"" X 5 3/4"",B-7,W/2-2H HEX"
170008,"PIPE,STL,FBC,10,.188W,ERW,21.21#/FT,X42","PIPE,STL,FBC,10,.188W,ERW,21.21#/FT,X42"
170176,"NIPPLE,3/4 X 10,BLK,STD,BW,TBE","NIPPLE,3/4 X 10,BLK,STD,BW,TBE"
170196,"NIPPLE,1-1/2 X CLOSE,BLK,STD,BW","NIPPLE,1-1/2 X CLOSE,BLK,STD,BW"
170482,"NIPPLE,WELD,6 X 17-1/2","NIPPLE,WELD,6 X 17-1/2"
171689,"VALVE,BALL,8,300#WP,FE RF,RP,BALON,8R-F3","VALVE,BALL,8,300#WP,FE RF,RP,BALON,8R-F3"
171722,"VALVE,BALL,4,300#WP,FE,ORBIT","VALVE,BALL,4,300#WP,FE,ORBIT"
177865,"PIPE,42"" OD .750"" WT API5LX65,DSAW,PEB","PIPE,42"" OD .750"" WT API5LX65,DSAW,PEB"
178082,"ELL,WLD,16"",90DEG,LR,.312WT,Y52","ELL,WLD,16"",90DEG,LR,.312WT,Y52"
178196,"FLANGE,RFWN,16"",ANSI 600, XH BORE","FLANGE,RFWN,16"",ANSI 600, XH BORE"
178684,"VALVE,CK,AIR START,I-R #1W27073P1,#31","VALVE,CK,AIR START,I-R #1W27073P1,#31"
179894,"NIPPLE,1 X 5,BLK,XH,SMLS,TBE,SCH-80","NIPPLE,1 X 5,BLK,XH,SMLS,TBE,SCH-80"
180033,"NIPPLE,1 X 2,GALV,XH,BW,TBE","NIPPLE,1 X 2,GALV,XH,BW,TBE"
180040,"NIPPLE,1 X 9,GALV,XH,BW,TBE","NIPPLE,1 X 9,GALV,XH,BW,TBE"
180302,"ELL,90,WELD,6,STD,LR","ELL,90,WELD,6,STD,LR"
180455,"FLANGE,SO,1-1/4,RF,150A,CS,STD BORE","FLANGE,SO,1-1/4,RF,150A,CS,STD BORE"
180462,"FLANGE,SO,6,RF,150A,CS,STD BORE","FLANGE,SO,6,RF,150A,CS,STD BORE"
181430,"VALVE,PLUG,1,800#WP,SE,824,ROCKWELL,MI","VALVE,PLUG,1,800#WP,SE,824,ROCKWELL,MI"
181516,"VALVE,BALL,2,150A,FE RF,FP,2F-F13-RF,BAL","VALVE,BALL,2,150A,FE RF,FP,2F-F13-RF,BAL"
181761,"BOLT,MACH,1/2 X 2-3/4,BLK,HHHD,W/HHN","BOLT,MACH,1/2 X 2-3/4,BLK,HHHD,W/HHN"
181800,"BOLT,MACH,3/4X3-1/4,ZNC,HHHD,W/HHN,B307","BOLT,MACH,3/4X3-1/4,ZNC,HHHD,W/HHN,B307"
181836,"BOLT,STUD,3/4 X 5-1/4,CAD,ALLOY,W/2 HHN","BOLT,STUD,3/4 X 5-1/4,CAD,ALLOY,W/2 HHN"
228788,"FLANGE,BALLOTAP,6,300A,6F300BT","FLANGE,BALLOTAP,6,300A,6F300BT"
229688,"VALVE,BALL,2,150#,BALON,#2R-US-13,BUTT W","VALVE,BALL,2,150#,BALON,#2R-US-13,BUTT W"
243973,"NIPPLE,SWAGE,3 X 2,STD,BLK,TOE","NIPPLE,SWAGE,3 X 2,STD,BLK,TOE"
244529,"VALVE,BALL,18,ANSI 300,RF,FP,CAMERON","VALVE,BALL,18,ANSI 300,RF,FP,CAMERON"
244762,"VALVE,BALL,8,600A,RF,FE,FP,WKM","VALVE,BALL,8,600A,RF,FE,FP,WKM"
246570,"BOLT,STUD,1-1/4 X 9-3/4,CAD,ALLOY,W/2 HH","BOLT,STUD,1-1/4 X 9-3/4,CAD,ALLOY,W/2 HH"
247228,"NIPPLE,3 X4,FS,XH,SMLS,TBE,SCH-80","NIPPLE,3 X4,FS,XH,SMLS,TBE,SCH-80"
248127,"VALVE,P/N 910380C4","VALVE,P/N 910380C4"
248260,"VALVE,BALL,1,2000#WP,SE,APOLLO","VALVE,BALL,1,2000#WP,SE,APOLLO"
248274,"NIPPLE,WELD,2 X 32,BEVEL ONE X THRD OTHE","NIPPLE,WELD,2 X 32,BEVEL ONE X THRD OTHE"
250084,"Valve, Control,4"", Fisher ET Body,657","VALVE, CONTROL,4"", FISHER ET BODY,657"
252074,"PIPE,24"" OD .375"" WT API5LX60,ERW,PE","PIPE,24"" OD .375"" WT API5LX60,ERW,PE"
253021,"VALVE,BALL,6,150A,WE,FP,DELTA","VALVE,BALL,6,150A,WE,FP,DELTA"
253112,"VALVE,BALL,8,600A,WE,FP,DELTA TYPE 55","VALVE,BALL,8,600A,WE,FP,DELTA TYPE 55"
253493,"VALVE, EXCESS FLOW, 1"" CTS, 475 SCFH","VALVE, EXCESS FLOW, 1"" CTS, 475 SCFH"
256085,"ELL,90,WELD,8,XH,Y-52,LR SEGMENTABLE","ELL,90,WELD,8,XH,Y-52,LR SEGMENTABLE"
256332,"VALVE,BALL,4,600A,FE RF,FP,WKM,370D4","VALVE,BALL,4,600A,FE RF,FP,WKM,370D4"
256483,"PIPE,2 3/8"" OD .218 WT API5LB,SMLS,X42","PIPE,2 3/8"" OD .218 WT API5LB,SMLS,X42"
259611,"VALVE,BALL,1""2000,NPT,SS,FP,SE,WKM","VALVE,BALL,1""2000,NPT,SS,FP,SE,WKM"
259981,"FLANGE,RFWN, 2"",ANSI 150,XH BORE","FLANGE,RFWN, 2"",ANSI 150,XH BORE"
260284,"PIPE,16"" OD .312"" WT API5LX60,ERW,FBE","PIPE,16"" OD .312"" WT API5LX60,ERW,FBE"
260835,"PIPE,12 3/4"" OD .375"" WT,API5LX60,FBE","PIPE,12 3/4"" OD .375"" WT,API5LX60,FBE"
262744,"VALVE,RELIEF,2IN,ANSI150,100,60-200PSIG","VALVE,RELIEF,2IN,ANSI150,100,60-200PSIG"
263196,"PIPE,PLA,20"" O.D.,16.145"" I.D.,SDR 11","PIPE,PLA,20"" O.D.,16.145"" I.D.,SDR 11"
281294,"PIPE,STL,GRD B,0.5,T&C,PRIMED","PIPE,STL,GRD B,0.5,T&C,PRIMED"
281436,"PIPE,STL,4,.237WT,HFW,X52M,PRIMED,SRL","PIPE,STL,4,.237WT,HFW,X52M,PRIMED,SRL"
281482,"PIPE,STL,X65,20,.0375WT,BARE,SRL","PIPE,STL,X65,20,.0375WT,BARE,SRL"
281744,"NIPPLE, PIPE, HEX: 1/4""","NIPPLE, PIPE, HEX: 1/4"""
282235,"VALVE,GATE,1.25,THD","VALVE,GATE,1.25,THD"
282469,"ELL,90,1,BLK,XH,MI,THRD","ELL,90,1,BLK,XH,MI,THRD"
283749,"ELBOW,90D,STL,12,BW","ELBOW,90D,STL,12,BW"
283752,"ELBOW,45D,STL,16,LR,BW","ELBOW,45D,STL,16,LR,BW"
288996,"VALVE,BALL,6,150A,FP,6F-US13-BW,BALON","VALVE,BALL,6,150A,FP,6F-US13-BW,BALON"
291378,"PIPE,PE,HI DEN,EMERG,6"",SDR11,125 PSIG","PIPE,PE,HI DEN,EMERG,6"",SDR11,125 PSIG"
291379,"PIPE,PE,HI DEN,EMERG,8"",SDR 11, 125 PSIG","PIPE,PE,HI DEN,EMERG,8"",SDR 11, 125 PSIG"
165046,"PIPE,3 1/2"" OD .216"" WT API5LX42,ERW,","PIPE,3 1/2"" OD .216"" WT API5LX42,ERW,"
165780,"FLANGE,RF BLIND, 6"",ANSI 300","FLANGE,RF BLIND, 6"",ANSI 300"
165796,"FLANGE,RF BLIND,22"",ANSI 600","FLANGE,RF BLIND,22"",ANSI 600"
165828,"FLANGE,RFWN,26"",ANSI 400,XH BORE","FLANGE,RFWN,26"",ANSI 400,XH BORE"
165940,"VALVE,BALL,2"" ANSI 600# RFFE,RP,BALON","VALVE,BALL,2"" ANSI 600# RFFE,RP,BALON"
165990,"VALVE,PLUG 4"",NORDSTRO FIG 2245,1440 CWP","VALVE,PLUG 4"",NORDSTRO FIG 2245,1440 CWP"
167050,"VALVE, EXHAUST","VALVE, EXHAUST"
168154,"PIPE,LINE 4 1/2 IN ALL WT JUNK","PIPE,LINE 4 1/2 IN ALL WT JUNK"
168250,"ELL,1"",90DEG,3000#,SCW,FS","ELL,1"",90DEG,3000#,SCW,FS"
168464,"FLANGE,RFWN, 3"",ANSI 150,STD BORE","FLANGE,RFWN, 3"",ANSI 150,STD BORE"
168614,"VALVE,GALL,16"",ANSI CLASS 300","VALVE,GALL,16"",ANSI CLASS 300"
168627,"VALVE,CHECK 2"" STEEL,SPECIFY ENDS & WOG","VALVE,CHECK 2"" STEEL,SPECIFY ENDS & WOG"
170030,"PIPE,STL,CASING,12,.250W,33.38#/FT","PIPE,STL,CASING,12,.250W,33.38#/FT"
170141,"ELL,90,STREET,2,BLK,STD,MI,THRD","ELL,90,STREET,2,BLK,STD,MI,THRD"
171728,"VALVE,AXIAL FLOW,3","VALVE,AXIAL FLOW,3"
171763,"VALVE,LOCKING DEVICE,ROCKWELL,2,F/415 OR","VALVE,LOCKING DEVICE,ROCKWELL,2,F/415 OR"
177831,"PIPE,12 3/4"" OD .375"" WT API5LX65,ERW,PE","PIPE,12 3/4"" OD .375"" WT API5LX65,ERW,PE"
177968,"PIPE,30"" OD .422"" WT API5LX60,DSAW,PE","PIPE,30"" OD .422"" WT API5LX60,DSAW,PE"
179483,"PIPE,LINE 6 5/8 IN ALL WT JUNK","PIPE,LINE 6 5/8 IN ALL WT JUNK"
179544,"PIPE,STL,BLK,4,.337W,ERW,14.98#/FT,X42","PIPE,STL,BLK,4,.337W,ERW,14.98#/FT,X42"
179564,"PIPE,PLA,1,IPS,YELLOW,PE-2406,SDR-11.0","PIPE,PLA,1,IPS,YELLOW,PE-2406,SDR-11.0"
179721,"ELL,90,2-1/2,BLK,STD,MI,THRD","ELL,90,2-1/2,BLK,STD,MI,THRD"
179755,"ELL,90,STREET,1,GALV,STD,MI,THRD","ELL,90,STREET,1,GALV,STD,MI,THRD"
179910,"NIPPLE,1 X 3,BLK,XH,SMLS,TOE,SCH-80","NIPPLE,1 X 3,BLK,XH,SMLS,TOE,SCH-80"
179932,"NIPPLE,1/4 X 1-1/2,GALV,STD,BW,TBE,SCH-4","NIPPLE,1/4 X 1-1/2,GALV,STD,BW,TBE,SCH-4"
179985,"NIPPLE,1-1/4 X 3,GALV,STD,BW,TBE,SCH-40","NIPPLE,1-1/4 X 3,GALV,STD,BW,TBE,SCH-40"
180032,"NIPPLE,1 X CLOSE,GALV,XH,BW,TBE","NIPPLE,1 X CLOSE,GALV,XH,BW,TBE"
180350,"NIPPLE,SHAPED,3 X 4 X 2-1/2,WE X SHAPED","NIPPLE,SHAPED,3 X 4 X 2-1/2,WE X SHAPED"
180450,"FLANGE,BLIND,6,RF,300A,CS","FLANGE,BLIND,6,RF,300A,CS"
181008,"PIPE,ROLLER SUPPORT,3,ADJUSTABLE","PIPE,ROLLER SUPPORT,3,ADJUSTABLE"
181073,"ELL,90,STREET,BRASS,1-1/4,XH,THRD","ELL,90,STREET,BRASS,1-1/4,XH,THRD"
181324,"ELL,90,PLA,4,SOCKET FUSION,SDR 11,YELLOW","ELL,90,PLA,4,SOCKET FUSION,SDR 11,YELLOW"
181552,"VALVE,BALL,4,600A,FE RF,RP,4R-F63-RF,BAL","VALVE,BALL,4,600A,FE RF,RP,4R-F63-RF,BAL"
240155,"PIPE,PLA,1-1/4,IPS,YELLOW,RINKER,POLYPIP","PIPE,PLA,1-1/4,IPS,YELLOW,RINKER,POLYPIP"
240491,"BOLT,STUD,1-1/8 X 6-3/4,CAD,ALLOY,W/NU","BOLT,STUD,1-1/8 X 6-3/4,CAD,ALLOY,W/NU"
240501,"VALVE,BALL,8,150A,WE,FP,DELTA FIG 55","VALVE,BALL,8,150A,WE,FP,DELTA FIG 55"
242780,"NIPPLE,1/4 X 6,BLK,XH,TOE","NIPPLE,1/4 X 6,BLK,XH,TOE"
244046,"PIPE,CT,26"" OD .500"" WT API5LX42,ERW,PE","PIPE,CT,26"" OD .500"" WT API5LX42,ERW,PE"
244243,"ELL,WLD,3"",45DEG,3R,.STD","ELL,WLD,3"",45DEG,3R,.STD"
244674,"VALVE,BALL,2,600A,FE RF,FP,WKM 370-D","VALVE,BALL,2,600A,FE RF,FP,WKM 370-D"
251357,"VALVE,3/8"",HAMMOND #BA260","VALVE,3/8"",HAMMOND #BA260"
255128,"VALVE,BALL,2"",RFFE,ANSI 150,CS,BALON","VALVE,BALL,2"",RFFE,ANSI 150,CS,BALON"
259752,"PIPE,CT,42"" OD .562"" WT API5LX65,DSAW,PE","PIPE,CT,42"" OD .562"" WT API5LX65,DSAW,PE"
260232,"PIPE,CT,2 3/8"" OD .218"" WT API5L,X42,FBE","PIPE,CT,2 3/8"" OD .218"" WT API5L,X42,FBE"
260455,"PIPE,3 1/2"" OD .216 WT API5L X52,ERW,FBE","PIPE,3 1/2"" OD .216 WT API5L X52,ERW,FBE"
260763,"FLANGE,RFWN,16"",ANSI 600, STD BORE,F52","FLANGE,RFWN,16"",ANSI 600, STD BORE,F52"
264666,"NIPPLE,1-1/2 X 3,GALV,STD,BW,TBE,SCH-160","NIPPLE,1-1/2 X 3,GALV,STD,BW,TBE,SCH-160"
264668,"ELL,45,WELD,8,3R, Y-52, Segmentable","ELL,45,WELD,8,3R, Y-52, SEGMENTABLE"
267893,"ELL, 90, WELD, 8, Y52, WAL 0.219","ELL, 90, WELD, 8, Y52, WAL 0.219"
281251,"PIPE,PE,2IN,0.216WT,SDR11.0,PE2708,40FT","PIPE,PE,2IN,0.216WT,SDR11.0,PE2708,40FT"
